iter	Logloss
0	0.6591691965
1	0.6326080074
2	0.6106838086
3	0.5934342295
4	0.5804225046
5	0.5676122799
6	0.5535170117
7	0.5406169568
8	0.5283972336
9	0.5186787244
10	0.5067752756
11	0.4969679154
12	0.4891253917
13	0.4771103613
14	0.4706797945
15	0.4613102143
16	0.4533491246
17	0.4466288646
18	0.4400936683
19	0.4343102971
20	0.4258270537
21	0.4180598271
22	0.4138988438
23	0.4079331734
24	0.4008802832
25	0.3947732529
26	0.3888982278
27	0.3799142173
28	0.3759138444
29	0.3668863367
30	0.3639694301
31	0.358464276
32	0.3546659033
33	0.3491669921
34	0.3442720583
35	0.3411887038
36	0.3345749009
37	0.3292118047
38	0.3246991254
39	0.3197560041
40	0.3148816013
41	0.3116704298
42	0.305618597
43	0.3014140002
44	0.2982476346
45	0.293373619
46	0.2902364389
47	0.2850960396
48	0.2807565919
49	0.2774665734
50	0.2736623285
51	0.2709369324
52	0.2692372292
53	0.2670572961
54	0.26464258
55	0.261926868
56	0.259889318
57	0.2565089519
58	0.2542277718
59	0.2521006289
60	0.2490615961
61	0.247294507
62	0.2449559676
63	0.2421175559
64	0.2392233034
65	0.2374342948
66	0.2353976896
67	0.2335691882
68	0.2319008799
69	0.2302514682
70	0.2271301062
71	0.2251096293
72	0.2216047161
73	0.2184280134
74	0.2162246818
75	0.2153062061
76	0.2133868055
77	0.2103313634
78	0.2068693593
79	0.2055870611
80	0.2041122842
81	0.2018392371
82	0.2002622847
83	0.1987828192
84	0.19671996
85	0.1948638833
86	0.1931066591
87	0.1909479756
88	0.1885407398
89	0.1862936877
90	0.1853170514
91	0.1829019351
92	0.1811708224
93	0.1785642021
94	0.177293051
95	0.1756465151
96	0.1742166508
97	0.1721812345
98	0.1697381052
99	0.1678767009
100	0.1660342644
101	0.1648564953
102	0.1625554317
103	0.160672344
104	0.1594265526
105	0.158366715
106	0.1561541057
107	0.1544714488
108	0.1530861053
109	0.1511903569
110	0.1499026064
111	0.1487551717
112	0.1475461841
113	0.1460000628
114	0.143899906
115	0.1418656054
116	0.139997351
117	0.1390143742
118	0.1379842548
119	0.1372595717
120	0.136134208
121	0.1345618535
122	0.1339023659
123	0.1331726337
124	0.1317791195
125	0.1306676109
126	0.1294185947
127	0.1280055426
128	0.1275692114
129	0.1266636966
130	0.1251182351
131	0.1241049795
132	0.1232970146
133	0.1227396788
134	0.1217324498
135	0.1209653373
136	0.1197520096
137	0.1190253432
138	0.1181841891
139	0.1171502546
140	0.1158576817
141	0.1152094717
142	0.1142338696
143	0.1134296126
144	0.1127571202
145	0.1117250991
146	0.1109077464
147	0.1101269462
148	0.1089869682
149	0.107791954
150	0.1067417399
151	0.1059217873
152	0.1051923509
153	0.1042794504
154	0.1034378767
155	0.1026605476
156	0.1020826379
157	0.1015230143
158	0.1010982529
159	0.1003941298
160	0.09937422344
161	0.09851010719
162	0.09805106313
163	0.09703343995
164	0.09643065847
165	0.09486092721
166	0.0940492409
167	0.09345585329
168	0.09231551142
169	0.09156250047
170	0.09103842452
171	0.09037769684
172	0.08988713492
173	0.08944417517
174	0.08898393064
175	0.08821999859
176	0.08771068584
177	0.0873676031
178	0.08666855583
179	0.08577625105
180	0.08510362621
181	0.08457756454
182	0.08412192994
183	0.08334713958
184	0.08308699807
185	0.08227490721
186	0.08175665473
187	0.08118004439
188	0.08050328549
189	0.07991276802
190	0.07929386227
191	0.07873685778
192	0.0782914983
193	0.07797286125
194	0.07760295189
195	0.07683264537
196	0.07649746862
197	0.07593754954
198	0.07554881796
199	0.0745815944
200	0.07411480069
201	0.07353308288
202	0.07308955894
203	0.07254644196
204	0.07205711907
205	0.07132503309
206	0.07086732317
207	0.07022180168
208	0.06997967862
209	0.0696508993
210	0.06928472716
211	0.0688469078
212	0.06847991999
213	0.06807893298
214	0.06784778971
215	0.0673841659
216	0.06696533543
217	0.06641746386
218	0.0658610948
219	0.06566866915
220	0.06520944091
221	0.06472680569
222	0.06398795377
223	0.06345860555
224	0.06313846272
225	0.06277141381
226	0.06231837615
227	0.06188821503
228	0.06149390791
229	0.06118098233
230	0.06061105448
231	0.06027200064
232	0.0599325191
233	0.05963817988
234	0.05919820141
235	0.05860607652
236	0.05819332352
237	0.05785089014
238	0.0576438608
239	0.05734961194
240	0.05675096582
241	0.05655657613
242	0.05620193362
243	0.05584658011
244	0.05551259046
245	0.05532037302
246	0.05521338018
247	0.05505945578
248	0.05478787957
249	0.05446898282
250	0.05419778013
251	0.05376223171
252	0.0533389988
253	0.05311784927
254	0.05275374158
255	0.05227566281
256	0.05198978153
257	0.05160529267
258	0.05130083794
259	0.05108289202
260	0.05088346823
261	0.05050542469
262	0.05015231474
263	0.04980727998
264	0.0492611657
265	0.04890043678
266	0.04871110389
267	0.04832014395
268	0.04790474181
269	0.04775835102
270	0.04744853386
271	0.0470092458
272	0.04669771831
273	0.04631716096
274	0.04615921346
275	0.04597194842
276	0.04551443181
277	0.04531510481
278	0.04514064598
279	0.04492744724
280	0.04454765548
281	0.04425173656
282	0.04414751392
283	0.04399248272
284	0.04363606793
285	0.04340321222
286	0.04310665916
287	0.04302303384
288	0.04279970596
289	0.04247618766
290	0.04224728428
291	0.0420709037
292	0.04185010685
293	0.04168162092
294	0.04150307232
295	0.04136833782
296	0.04121030297
297	0.04103385915
298	0.04085355904
299	0.04075772074
300	0.04062036348
301	0.04037961275
302	0.04018473555
303	0.04011354382
304	0.04002110886
305	0.03983742854
306	0.03969834579
307	0.03956992132
308	0.03946131183
