,Logistic_Regression,Random_Forest,XGBoost,LightGBM,CatBoost,AdaBoost,SVC
ROC-AUC,0.7441536247526532,0.7689806004487745,0.7356160233286941,0.7398931083780689,0.7446601528105206,0.6671400573749537,0.7479052461158292
PR-AUC,0.38807751688514164,0.4877383682253359,0.4831630609282885,0.47966078413976837,0.4781724613772107,0.2858645392364056,0.4248285569575923
